,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
126940,2017,1787,2017-06-19 13:23:22,2017-06-19 13:44:58,2017-06-19 00:00:00,PELA MANHÃ,2017-06-19 00:00:00,Desconhecida,Não,RUA RABIQUE,1.0,,S.ANDRE,SP,"-23,706,773,126","-46,503,074,612",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,06º D.P. SANTO ANDRÉ,06º D.P. SANTO ANDRÉ,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,DUD1397,SP,MAUA,Preta,GM/VECTRA SEDAN ELITE,2006.0,2006.0,AUTOMOVEL
126951,2017,1561,2017-06-19 13:57:50,2017-06-19 14:09:07,2017-06-16 00:00:00,A NOITE,2017-06-19 00:00:00,Desconhecida,Não,RUA ROSÁLIA SCHIMIDT DE CAMARGO ARANHA,89.0,JARDIM RESID. CAMPO BELO,LIMEIRA,SP,"-225,965,433,512,929","-473,880,435,966,926",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. LIMEIRA,04º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CYV6012,SP,LIMEIRA,Bege,FORD/ESCORT,1984.0,1984.0,AUTOMOVEL
126952,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,AUX3003,SP,S.PAULO,Verde,I/TOYOTA HILUX CD4X4 SRV,2006.0,2006.0,CAMINHONETE
126953,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CFY4679,SP,S.PAULO,Branco,VW/SPACEFOX PAT MA,2013.0,2014.0,AUTOMOVEL
126954,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DEF4732,SP,S.PAULO,Cinza,GM/CORSA MILENIUM,2001.0,2002.0,AUTOMOVEL
126955,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EUW9545,SP,S.PAULO,Vermelho,FORD/ECOSPORT FSL1.6FLEX,2011.0,2012.0,CAMIONETA
126956,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EZN3967,SP,S.PAULO,Preta,CITROEN/C3 GLX 14 FLEX,2012.0,2012.0,AUTOMOVEL
126957,2017,10178,2017-10-28 18:13:46,2017-10-28 21:53:36,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Conhecida,Não,AVENIDA ARICANDUVA,9145.0,PARQUE DO CARMO,S.PAULO,SP,"-23,587,198,164","-46,483,235,303",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FPE9210,SP,S.ANDRE,Branco,CHEV/PRISMA 1.4MT LT,2014.0,2015.0,AUTOMOVEL
126991,2017,9200,2017-10-28 21:37:23,2017-10-28 22:03:42,2017-10-25 00:00:00,A TARDE,2017-10-28 00:00:00,Desconhecida,Não,RUA RIBEIRÃO PÍRES,100.0,BAIRRO SANTA TEREZINHA,S.ANDRE,SP,"-236,335,958,620,758","-465,305,452,676,147",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. S.B.C-DR OMAR CASSIM,02º D.P. SANTO ANDRÉ,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FUO6224,SP,S.ANDRE,Branco,MMC/L200 TRITON HPE D,2014.0,2015.0,CAMINHONETE
127003,2017,8223,2017-10-28 23:34:08,2017-10-29 00:00:28,2017-10-28 00:00:00,A TARDE,2017-10-28 00:00:00,Desconhecida,Não,RUA PROFESSOR AUGUSTO GUZZO,87.0,CASA VERDE,S.PAULO,SP,"-23,489,356,178","-46,653,822,372",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,72º D.P. VILA PENTEADO,13º D.P. CASA VERDE,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CMA4576,SP,S.PAULO,Prata,GM/CORSA GL,1998.0,1998.0,AUTOMOVEL
127038,2017,8047,2017-10-29 00:51:30,2017-10-29 03:43:15,2017-10-28 00:00:00,A NOITE,2017-10-29 00:00:00,Conhecida,Sim,RODOVIA SP 270,16.0,RAPOSO TAVARES,S.PAULO,SP,"-235,862,956,669,999","-46,758,848,068",Via pública,IC-IML,BO PARA FLAGRANTE,89º D.P. JARDIM TABOAO,75º D.P. JARDIM ARPOADOR,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,CCZ3830,SP,OSASCO,Cinza,FIAT/UNO MILLE EP,1996.0,1996.0,AUTOMOVEL
127127,2017,7603,2017-07-23 17:14:51,2017-07-23 17:20:07,2017-07-22 00:00:00,A TARDE,2017-07-23 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,BO PARA INVESTIGAÇÃO,73º D.P. JACANA,73º D.P. JACANA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EWE7128,SP,SOROCABA,Preta,KASINSKI/COMET 250,2011.0,2011.0,MOTOCICLO
127155,2017,11146,2017-11-27 20:17:09,2017-11-27 21:57:22,2017-11-27 00:00:00,A TARDE,2017-11-27 00:00:00,Conhecida,Sim,RUA DR AURELIANO DA SILVA ARRUDA,31.0,SAO MATEUS,S.PAULO,SP,"-23,594,538,263,862","-464,830,250,686,896",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EBM8526,SP,S.BERNARDO DO CAMPO,Preta,I/HYUNDAI SANTA FE V6,2007.0,2008.0,UTILITÁRIO
127164,2017,5631,2017-11-27 21:48:03,2017-11-27 22:33:34,2017-11-27 00:00:00,A NOITE,2017-11-27 00:00:00,Conhecida,Não,RUA SANTOS DIAS,791.0,CONJ. RES. VICTOR D'ANDREA,LIMEIRA,SP,"-225,927,410,552,899","-47,398,756,908,716",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.LIMEIRA PLANTÃO,04º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BZU5313,SP,LIMEIRA,Cinza,FIAT/UNO ELETRONIC,1994.0,1994.0,AUTOMOVEL
127190,2017,11158,2017-11-27 23:41:48,2017-11-27 23:51:00,2017-11-27 00:00:00,DE MADRUGADA,2017-11-27 00:00:00,Conhecida,Não,AVENIDA SAPOPEMBA,15000.0,SAO RAFAEL,S.PAULO,SP,"-236,256,341,503,393","-464,626,251,478,049",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,55º D.P. PARQUE S.RAFAEL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CFH3760,SP,S.PAULO,Preta,GM/CORSA SUPER,1996.0,1997.0,AUTOMOVEL
127210,2017,4654,2017-11-27 22:25:04,2017-11-28 00:46:12,2017-11-27 00:00:00,A TARDE,2017-11-27 00:00:00,Desconhecida,Não,RUA SANTA ADELAIDE,163.0,JD UNIVERSO,MOGI DAS CRUZES,SP,"-235,428,453,046,666","-462,161,397,743,333",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,02º D.P. MOGI DAS CRUZES,02º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,BYL0239,SP,MOGI DAS CRUZES,Vermelho,HONDA/CG 150 JOB,2007.0,2007.0,MOTOCICLO
127227,2017,4650,2017-11-28 02:13:43,2017-11-28 02:33:43,2017-11-27 00:00:00,A NOITE,2017-11-28 00:00:00,Desconhecida,Não,RUA DOS ESTUDANTES,1.0,VILA APARECIDA,RIBEIRAO PIRES,SP,"-23,709,636,159","-464,047,720,889,999",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.RIBEIRAO PIRES,DEL.POL.RIBEIRAO PIRES,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,DDD6129,SP,OSASCO,Cinza,VW/GOL SPECIAL,2001.0,2001.0,AUTOMOVEL
127249,2017,172,2017-01-09 22:06:44,2017-02-09 00:59:01,2017-01-09 00:00:00,A TARDE,2017-01-09 00:00:00,Conhecida,Sim,AVENIDA ENGENHEIRO CAETANO ALVARES,1800.0,CASA VERDE,S.PAULO,SP,"-234,994,066,729,649","-466,640,723,560,377",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 2ª DELEGACIA DA DIVECAR,40º D.P. VILA STA MARIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PXT6425,MG,BELO HORIZONTE,Preta,CHEV/PRISMA 1.4AT LT,2016.0,2016.0,AUTOMOVEL
127250,2017,172,2017-01-09 22:06:44,2017-02-09 00:59:01,2017-01-09 00:00:00,A TARDE,2017-01-09 00:00:00,Conhecida,Sim,AVENIDA ENGENHEIRO CAETANO ALVARES,1800.0,CASA VERDE,S.PAULO,SP,"-234,994,066,729,649","-466,640,723,560,377",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 2ª DELEGACIA DA DIVECAR,40º D.P. VILA STA MARIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PYN7354,MG,BELO HORIZONTE,Branco,JEEP/RENEGADE SPORT AT,2016.0,2016.0,CAMIONETA
127251,2017,172,2017-01-09 22:06:44,2017-02-09 00:59:01,2017-01-09 00:00:00,A TARDE,2017-01-09 00:00:00,Conhecida,Sim,AVENIDA ENGENHEIRO CAETANO ALVARES,1800.0,CASA VERDE,S.PAULO,SP,"-234,994,066,729,649","-466,640,723,560,377",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 2ª DELEGACIA DA DIVECAR,40º D.P. VILA STA MARIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PYU9644,MG,BELO HORIZONTE,Cinza,I/NISSAN KICKS SL CVT,2016.0,2017.0,AUTOMOVEL
127327,2017,2244,2017-02-09 10:19:03,2017-02-09 10:46:25,2017-02-09 00:00:00,PELA MANHÃ,2017-02-09 00:00:00,Conhecida,Não,RUA ROMUALDO FERREIRA DA SILVA,173.0,JARDIM AMANDA,HORTOLANDIA,SP,"-228,974,875,616,538","-472,292,828,332,692",Comércio e serviços,,BO PARA ADENDO,DEL.POL.PLANTÃO HORTOLÂNDIA,02º D.P. HORTOLÂNDIA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,BUF1269,SP,CAMPINAS,Cinza,FIAT/UNO ELETRONIC,1995.0,1995.0,AUTOMOVEL
127336,2017,4248,2017-10-22 22:46:31,2017-10-22 23:39:44,2017-10-22 00:00:00,A NOITE,2017-10-22 00:00:00,Desconhecida,Não,RUA PROFESSOR JOAQUIM PEDROSO,592.0,CONJUNTO HABITACIONAL 30 DE NOVEMBRO,COSMOPOLIS,SP,"-226,335,307,006,117","-472,025,712,328",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.COSMÓPOLIS,DEL.POL.COSMÓPOLIS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BIL5089,SP,JAGUARIUNA,Vermelho,GM/MONZA SL/E 2.0,1991.0,1991.0,AUTOMOVEL
127359,2017,4074,2017-10-22 22:07:57,2017-10-23 01:02:21,2017-10-22 00:00:00,A NOITE,2017-10-22 00:00:00,Conhecida,Sim,RUA BELVEDERE,20.0,VILA SANTO ANTONIO,POA,SP,"-235,239,666,685,212","-463,439,056,810,134",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.POL.POA,DEL.POL.POA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BHJ6830,SP,FERRAZ DE VASCONCELO,Verde,GM/KADETT SL,1991.0,1991.0,AUTOMOVEL
127364,2017,4997,2017-10-22 22:58:53,2017-10-23 01:11:22,2017-10-22 00:00:00,A NOITE,2017-10-22 00:00:00,Desconhecida,Não,RUA FABRÍCIO DE GÓES,436.0,JARDIM MORRO AZUL,LIMEIRA,SP,"-225,568,838,927,999","-474,317,611,639,999",Via pública,,BO PARA REGISTRO,DEL.SEC.LIMEIRA PLANTÃO,02º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BUU2813,SP,LIMEIRA,Cinza,VW/GOL,1986.0,1986.0,AUTOMOVEL
127373,2017,2917,2017-10-23 03:09:41,2017-10-23 04:44:39,2017-10-22 00:00:00,A NOITE,2017-10-23 00:00:00,Desconhecida,Não,RUA MINAS GERAIS,0.0,JARDIM MAGALI,ITAPIRA,SP,"-224,344,700,139,999","-46,814,055,577",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.ITAPIRA,01º D.P. ITAPIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DXE9881,SP,ITAPIRA,Preta,FORD/ECOSPORT XLT,2007.0,2008.0,CAMIONETA
127379,2017,8660,2017-10-23 05:57:38,2017-10-23 06:11:39,2017-10-16 00:00:00,A TARDE,2017-10-23 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,BO PARA ADENDO,PLANTÃO - 04 DP CAMPINAS,03º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CXI7120,SP,VALINHOS,Azul,FORD/ESCORT L,1985.0,1985.0,AUTOMOVEL
127386,2017,5411,2017-10-23 03:55:55,2017-10-23 07:14:58,2017-10-23 00:00:00,DE MADRUGADA,2017-10-23 00:00:00,Conhecida,Sim,,0.0,,,,,,Via pública,IC,BO PARA FLAGRANTE,DEL.POL.SUZANO,02º D.P. SUZANO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BVU6166,SP,MOGI DAS CRUZES,Vermelho,FIAT/UNO ELETRONIC,1994.0,1995.0,AUTOMOVEL
127397,2017,2235,2017-10-23 07:47:59,2017-10-23 08:17:00,2017-10-23 00:00:00,PELA MANHÃ,2017-10-23 00:00:00,Desconhecida,Não,RUA JOSÉ FLORIANO DOS SANTOS,253.0,JD.CARLOS LOURENÇO,CAMPINAS,SP,"-22,922,032,987","-470,171,940,389,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,PLANTÃO - 05 DP CAMPINAS,10º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CTO6790,SP,CAMPINAS,Azul,GM/KADETT SL/E,1990.0,1990.0,AUTOMOVEL
127430,2017,6433,2017-12-10 19:05:15,2017-12-10 23:07:48,2017-12-10 00:00:00,A TARDE,2017-12-10 00:00:00,Conhecida,Sim,,0.0,,,,,,Residência,IC-IML,BO PARA FLAGRANTE,56º D.P. VILA ALPINA,56º D.P. VILA ALPINA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FNY1494,SP,S.PAULO,Branco,FORD/KA SE 1.5 HA,2015.0,2016.0,AUTOMOVEL
127454,2017,9851,2017-12-10 22:58:05,2017-10-13 01:38:32,2017-12-10 00:00:00,A NOITE,2017-12-10 00:00:00,Desconhecida,Não,RUA MARIA CÃO VINO,31.0,ANTARTICA,PRAIA GRANDE,SP,"-240,108,936,278,571","-464,562,489,868,182",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PRAIA GRANDE,DEL.POL.PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EKL8477,SP,GUARULHOS,Vermelho,FIAT/IDEA ADVENTURE DUAL,2009.0,2010.0,AUTOMOVEL
127574,2017,958,2017-09-30 03:00:32,2017-09-30 04:02:31,2017-09-30 00:00:00,DE MADRUGADA,2017-09-30 00:00:00,Conhecida,Sim,RUA DEZ DE MARÇO,1465.0,PATROCINIO PAULISTA,PATROCINIO PAULISTA,SP,"-206,433,410,989,999","-472,836,635,899,999",Via pública,,BO PARA FLAGRANTE,DEL.POL.PATROCINIO PAULISTA,DEL.POL.PATROCINIO PAULISTA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BKQ8173,SP,PATROCINIO PAULISTA,Branco,VW/VW FUSCA 1600,1986.0,1986.0,AUTOMOVEL
127580,2017,9171,2017-09-30 01:33:48,2017-09-30 05:40:01,2017-09-29 00:00:00,A NOITE,2017-09-30 00:00:00,Conhecida,Sim,RUA ALZIRO PINHEIRO MAGALHAES,500.0,GRAJAU,S.PAULO,SP,"-237,570,859,123,076","-46,684,937,194,923",Via pública,IC-IML,BO PARA FLAGRANTE,101º D.P. JDIM IMBUIAS,85º D.P. JARDIM MIRNA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CJJ6017,SP,S.PAULO,Verde,GM/CORSA WIND,1997.0,1997.0,AUTOMOVEL
127593,2017,1238,2017-09-30 06:42:25,2017-09-30 08:41:52,2017-09-30 00:00:00,DE MADRUGADA,2017-09-30 00:00:00,Desconhecida,Não,RUA TIRADENTES,0.0,MONTE APRAZIVEL,MONTE APRAZIVEL,SP,"-20,778,552,825","-497,135,679,579,999",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.MONTE APRAZIVEL,DEL.POL.MONTE APRAZIVEL,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,DKJ6999,SP,MONTE APRAZIVEL,Vermelho,HONDA/CG 125 TITAN KS,2003.0,2004.0,MOTOCICLO
127614,2017,1819,2017-07-31 12:30:10,2017-07-31 12:58:54,2017-07-31 00:00:00,PELA MANHÃ,2017-07-31 00:00:00,Desconhecida,Não,AVENIDA PRESIDENTE WILSON,0.0,IPIRANGA,S.PAULO,SP,"-2,358,293,929","-465,974,927,569,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,05º D.P. SANTO ANDRÉ,17º D.P. DOUTOR ALDO GALIANO,Localização e/ou Devolução,Entrega de veículo localizado/apreendido,Consumado,FOH5004,SP,S.ANDRE,Branco,HYUNDAI/HB20 1.0M COMFOR,2014.0,2014.0,AUTOMOVEL
127634,2017,2254,2017-07-31 12:59:58,2017-07-31 13:29:52,2017-07-28 00:00:00,DE MADRUGADA,2017-07-31 00:00:00,Desconhecida,Não,RUA AURIFLAMA,2591.0,JARDIM RESIDENCIAL VETORASSO,S.JOSE DO RIO PRETO,SP,"-20,800,112,761","-494,093,977,369,999",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. S.JOSE RIO PRETO,06º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Entrega de veículo localizado/apreendido,Consumado,CXY2344,SP,S.JOSE DO RIO PRETO,Branco,GM/CORSA WIND,1999.0,1999.0,AUTOMOVEL
127654,2017,7148,2017-07-31 14:06:17,2017-07-31 14:13:53,2017-07-31 00:00:00,PELA MANHÃ,2017-07-31 00:00:00,Desconhecida,Não,RUA CONSELHEIRO MOREIRA DE BARROS,524.0,SANTANA,S.PAULO,SP,"-234,954,300,571,111","-466,302,626,524,444",Via pública,IC,BO PARA REGISTRO,69º D.P. TEOTONIO VILELA,13º D.P. CASA VERDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,OWL4315,SP,S.PAULO,Prata,VW/NOVO GOL 1.0 CITY,2013.0,2014.0,AUTOMOVEL
127677,2017,3703,2017-07-31 13:47:27,2017-07-31 15:07:30,2017-07-29 00:00:00,A TARDE,2017-07-31 00:00:00,Desconhecida,Não,RUA BRIGADEIRO LIMA E SILVA,567.0,GALVÃO,GUARULHOS,SP,"-234,668,345,929,324","-465,562,159,723,243",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,02º D.P. GUARULHOS,02º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EGS8719,SP,GUARULHOS,Preta,FIAT/PALIO FIRE ECONOMY,2009.0,2010.0,AUTOMOVEL
127689,2017,1338,2017-07-31 14:41:51,2017-07-31 15:22:25,2017-07-28 00:00:00,A NOITE,2017-07-31 00:00:00,Desconhecida,Não,RUA PAPOULA,100.0,JARDIM DAS FLORES,OSASCO,SP,"-235,338,470,832,692","-467,906,793,865,192",Via pública,,BO PARA INVESTIGAÇÃO,01º D.P. OSASCO,01º D.P. OSASCO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FVI6080,SP,OSASCO,Vermelho,HYUNDAI/HB20 1.6A PREM,2014.0,2014.0,AUTOMOVEL
127712,2017,6506,2017-01-07 16:42:46,2017-01-07 16:55:31,2017-01-07 00:00:00,A TARDE,2017-01-07 00:00:00,Conhecida,Não,RUA KEN SUGAYA,1.0,ITAQUERA,S.PAULO,SP,"-23,537,346,022","-464,537,155,099,999",Via pública,,BO PARA REGISTRO,49º D.P. SAO MATEUS,32º D.P. ITAQUERA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FJT6725,SP,S.PAULO,Prata,FIAT/PALIO FIRE ECONOMY,2013.0,2013.0,AUTOMOVEL
127725,2017,6238,2017-01-07 15:35:40,2017-01-07 17:13:07,2017-01-07 00:00:00,A TARDE,2017-01-07 00:00:00,Conhecida,Sim,AVENIDA GUILHERME,100.0,VILA GUILHERME,S.PAULO,SP,"-235,217,341,503,269","-466,075,142,161,796",Via pública,IC-IML,BO PARA FLAGRANTE,20º D.P. AGUA FRIA,09º D.P. - CARANDIRU,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DJC9041,SP,S.PAULO,Branco,IVECO/DAILY7012 CC1,2004.0,2005.0,CAMINHÃO
127726,2017,6238,2017-01-07 15:35:40,2017-01-07 17:13:07,2017-01-07 00:00:00,A TARDE,2017-01-07 00:00:00,Conhecida,Sim,AVENIDA GUILHERME,100.0,VILA GUILHERME,S.PAULO,SP,"-235,217,341,503,269","-466,075,142,161,796",Via pública,IC-IML,BO PARA FLAGRANTE,20º D.P. AGUA FRIA,09º D.P. - CARANDIRU,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DUQ8041,SP,S.PAULO,Preta,FIAT/IDEA HLX FLEX,2006.0,2007.0,AUTOMOVEL
127773,2017,2653,2017-01-07 21:29:44,2017-01-07 21:40:01,2017-01-07 00:00:00,A NOITE,2017-01-07 00:00:00,Desconhecida,Não,RUA BATURITE,282.0,PARQUE INDUSTRIAL,S.JOSE DOS CAMPOS,SP,"-232,365,845,427,777","-4,590,416,029,225",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.POL.SJCAMPOS PL CENTRO,03º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FFV5620,SP,S.JOSE DOS CAMPOS,Preta,VW/SAVEIRO 1.6 CE CROSS,2012.0,2013.0,CAMINHONETE
127797,2017,2572,2017-01-07 22:59:38,2017-01-07 23:17:27,2017-01-07 00:00:00,A NOITE,2017-01-07 00:00:00,Conhecida,Não,AVENIDA ALICIO DE CARVALHO,521.0,JUNDIAPEBA,MOGI DAS CRUZES,SP,"-235,502,793,513,272","-462,685,510,737,818",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,02º D.P. MOGI DAS CRUZES,04º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CMY3551,SP,MOGI DAS CRUZES,Vermelho,VW/GOL PLUS MI,1997.0,1997.0,AUTOMOVEL
127813,2017,4018,2017-09-14 09:36:17,2017-09-14 11:10:04,2017-09-08 00:00:00,PELA MANHÃ,2017-09-14 00:00:00,Desconhecida,Não,AVENIDA PACAEMBU,1775.0,CHACARA STA MARIA,VARZEA PAULISTA,SP,"-231,981,211,927,885","-468,176,729,060,623",Via pública,IML,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.VARZEA PAULISTA,DEL.POL.VARZEA PAULISTA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DKI6016,SP,VARZEA PAULISTA,Prata,FORD/KA FLEX,2009.0,2009.0,AUTOMOVEL
127825,2017,2368,2017-09-14 10:54:27,2017-09-14 11:25:02,2017-09-14 00:00:00,DE MADRUGADA,2017-09-14 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. TABOÃO DA SERRA,01º D.P. EMBU DAS ARTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EJD8107,SP,S.PAULO,Vermelho,VW/FOX 1.6 PRIME GII,2010.0,2010.0,AUTOMOVEL
127840,2017,2374,2017-09-14 10:16:54,2017-09-14 12:00:08,2017-09-14 00:00:00,PELA MANHÃ,2017-09-14 00:00:00,Conhecida,Não,AVENIDA DOS SERTANISTAS,1500.0,SAO RAFAEL,S.PAULO,SP,"-23,632,193,013,948","-464,468,951,799,398",Via pública,IC,ENCAM FEBEM/V.INFAN.JUVENTUDE,55º D.P. PARQUE S.RAFAEL,55º D.P. PARQUE S.RAFAEL,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,EXA4041,SP,S.PAULO,Preta,DAFRA/SPEED 150,2011.0,2011.0,MOTOCICLO
